id,place_name,city,description,image_url,time,distance,price,age,lung,motion,sight,r_r,a_r,h_r,m_r,n_r,s_r,c_r,e_r
1,Khao San Road ,Bangkok," Khao  San Road, famously known as the backpacker's haven, is located in the heart of the city. It is a 410 meter long street in central Bangkok which will cater to every need of yours! Street food stalls, bars, shops, restaurants, nightclubs, cafes and massage parlours are all packed into this one street. This road is one of the most famous night markets in Bangkok. It turns into a shopper's paradise as the sun sets down. You'll find everything here at a reasonable rate. Its cheap food, accommodation and clothes make this place a winning combo for all tourists! ",https://www.holidify.com/images/cmsuploads/square/5328981507_1e5c724e89_b_20170802114330.jpg?v=1.1,4.2,4.6,2700,0,0,1,0,4.1,8.2,4.3,8.2,4.4,2.1,6.2,4.6
2,Chatuchak Market ,Bangkok," The king of markets in Bangkok, and one of the largest markets in the world, Chatuchak is spread over 35 acres with more than 8,000 stalls. Everything ranging from clothing, accessories, handicrafts, furniture, art, food, books, antiques, and many more interesting souvenirs are is available here. Keep your bargaining skills ready to enhance your shopping experience at this bustling market. ",https://www.holidify.com/images/cmsuploads/square/shutterstock_391516453_20191106123057_20191106123145.png,3,3.4,2000,-1,0,1,0,7.4,8.3,5,3.7,7.4,7.3,8.8,4.3
3,Wat Pho Bangkok ,Bangkok," Wat Pho is a famous temple located immediately south of the Grand Palace precinct in Bangkok. The place is renowned for being headquarters for the teaching and preservation of traditional Thai medicine. The temple is largely visited to view the large reclining Buddha within, thus also known as 'Temple of the Reclining Buddha'. ",https://www.holidify.com/images/cmsuploads/square/Wat_Pho_Bangkok_Thailand_20180924123804.jpg,3,9.1,300,-1,0,1,0,4.9,3.9,8.9,2.9,3.4,8.7,5.7,4
4,Grand Palace ,Bangkok," The Grand Palace, the residence of royals for several generations, is the perfect place to begin your historical tour in Bangkok. It houses one of the holiest Buddhist temples, Wat Phra Kaew, built in the year 1782. The Grand Palace stands among the top tourist attractions in Bangkok, Thailand, showcasing the rich history of Bangkok. ","https://www.holidify.com/images/cmsuploads/square/Grand_Palace_Bangkok,_Thailand_20180801132135_20180801132228.jpg",5.2,2.4,2700,-1,0,1,0,9.4,7.3,5.1,3.2,7.8,8.9,5.5,2.2
5,Wat Arun ,Bangkok," An ancient structure dating back to the battles between the former Siam and Burma, Wat Arun is a place of worship with rich past. Also known as the Temple of Dawn, the site was built by remaining survivors and General Taksin. Later, the temple was renamed as Aruna after the Indian God of dawn to commemorate the founding of a new Ayutthaya, the former capital of the kingdom.  ",https://www.holidify.com/images/cmsuploads/square/attr_1131_20191017141759.jpg,5.6,9.6,2300,1,0,0,1,2.4,4.1,6.9,7.7,5.6,7.1,6.2,8.8
6,Terminal 21 ,Bangkok," Ever dreamed of travelling the world? This airport inspired mall in Bangkok, Terminal 21, brings all the cities of the world under one roof, letting you shop from Tokyo one minute, and San Fransisco the other. International luxury brands and many local labels are available here. With over 600 shops, a cineplex and all kinds of restaurants, the shopping experience here is emphasised like no other. ",https://www.holidify.com/images/cmsuploads/square/attr_121713.jpg,3.4,2.1,1300,-1,0,1,0,8.3,2.1,1.7,6.7,8.3,4.6,2,9.4
7,Chao Phraya River ,Bangkok," The river of kings, Chao Phraya River, is the prime river and waterway of Thailand, used by an average of 50,000 commuters daily. The fertile plains and abundant fish of the river are the main reasons for the choice of Thailand's capitals in the past, such as Ayutthaya, Thonburi and Bangkok. ",https://www.holidify.com/images/cmsuploads/square/shutterstock_7636411932_20191106122406_20191106124108.jpg,2.8,3.3,2900,-1,0,1,0,2.1,1.9,1.6,6.4,1.8,7.2,7.2,3.5
8,Sea Life Bangkok Ocean World ,Bangkok," Sea Life Bangkok is an underground aquarium located beneath the Siam Paragon mall in the heart of Bangkok. Sprawled over an area of 110,000 sq. ft., Sea Life Bangkok is the largest South-East Asian aquarium. Home to various marine life retrieved from the remotest corners of the world, the aquarium houses species of octopuses, sharks, crabs, penguins and fish. ",https://www.holidify.com/images/cmsuploads/square/46240877314_28c2a062b3_o_20190909110453.jpg,4.2,5,2300,-1,0,1,1,3.2,6.3,8.2,5.4,4.6,4.6,5,7.3
9,Chinatown ,Bangkok," Located along the Yaowarat Road, Chinatown is a Chinese cultural and commercial hub. It is majorly known for its exotic culinary experience of street foods, along with several Buddhist temples, and traditional wooden shops selling Chinese goods. It is best to visit Chinatown at night, which is when it is vibrant with neon lights and chaotic fun. ",https://www.holidify.com/images/cmsuploads/square/attr_121710.jpg,4.6,1.7,1500,-1,0,0,0,6.2,3.2,7.2,2.5,3.4,3.3,8.1,2.8
10,Soi Cowboy ,Bangkok," One of the popular red light districts, Soi Cowboy is a neon-lit street, filled with Go Go Bars and other bright spaces. With friendly staff members outside each bar, it embodies the true nightlife experience of Bangkok. Located very close to Terminal 21, it is an exciting experience thanks to the unique culture and vibe of the place! ",https://www.holidify.com/images/attr_square/attr_121716.jpg?v=1.1,4.4,8.8,400,1,0,0,0,4.8,6.9,8.6,4.7,2.4,5.2,7,7.3
